,'trial','face_num','mirror','mood_1=h','angle_45=cw','fixation_1=chin','resp_1=h','rt_from_beep','exp_time',Fixate?,Feature 1,Feature 2
,1,18,0,1,0,1,1,9.7347,13.19,,,
,2,42,1,2,315,2,3,1.5636,16.638,,,
,3,56,0,1,0,1,1,1.7303,20.18,,,
,4,36,1,3,45,3,3,1.6129,23.565,,,
,5,77,1,3,315,2,3,1.136,26.529,,,
,6,49,0,2,0,1,2,1.0233,29.322,,,
,7,9,1,1,315,3,1,1.785,32.959,,,
,8,99,1,3,0,2,3,1.121,35.845,,,
,9,98,1,2,0,3,2,1.0913,38.726,,,
,10,12,1,3,315,3,3,1.3203,41.835,,,
,11,29,0,2,45,1,2,1.479,45.08,,,
,12,16,1,3,45,1,3,0.9231,47.794,,,
,13,80,0,3,45,3,3,0.712,50.277,,,
,14,48,1,1,0,2,1,0.8614,52.929,,,
,15,76,1,2,315,1,2,1.1174,55.815,,,
,16,41,1,1,45,1,1,1.0859,58.81,,,
,17,82,0,3,315,1,3,1.0045,61.727,,,
,18,89,0,3,0,2,3,0.7028,64.207,,,
,19,61,1,1,0,2,1,0.8971,66.876,,,
,20,50,1,3,45,2,3,1.2025,69.856,,,
,21,115,1,1,315,1,1,1.0227,72.648,,,
,22,8,1,2,45,2,2,0.9193,75.349,,,
,23,84,1,2,45,2,2,0.6636,77.805,,,
,24,112,0,3,45,2,3,0.6608,80.239,,,
,25,114,1,1,0,3,2,0.8481,82.859,,,
,26,2,0,2,45,3,2,0.9174,85.543,,,
,27,105,0,2,45,1,2,1.0348,88.366,,,
,28,85,1,3,0,3,3,1.4088,91.548,,,
,29,37,0,2,315,3,2,0.8198,94.138,,,
,30,69,1,2,45,3,2,1.3343,97.242,,,
,31,40,0,1,0,1,1,0.9147,99.941,,,
,32,94,0,3,0,3,3,1.2255,102.938,,,
,33,79,0,2,315,3,2,0.7738,105.481,,,
,34,33,1,2,315,2,2,1.1896,108.447,,,
,35,64,1,1,45,3,1,0.7691,110.99,,,
,36,58,1,3,45,2,3,0.8183,113.58,,,
,37,54,0,1,0,3,1,1.2685,116.622,,,
,38,86,0,2,315,1,2,0.7684,119.164,,,
,39,90,0,3,0,1,3,0.8692,121.802,,,
,40,97,1,3,45,1,3,0.6923,124.282,,,
,41,15,1,2,315,3,2,1.6689,140.035,,,
,42,59,1,2,0,3,2,1.0044,142.83,,,
,43,88,1,2,45,3,2,1.2868,145.885,,,
,44,22,1,3,315,2,3,0.707,148.366,,,
,45,83,1,1,315,2,1,0.7714,150.924,,,
,46,111,1,1,45,2,1,1.0127,153.701,,,
,47,51,1,3,315,1,3,0.8554,156.339,,,
,48,100,1,1,0,1,1,1.1341,159.256,,,
,49,103,0,3,0,1,3,1.2283,162.267,,,
,50,101,0,2,0,1,2,0.854,164.904,,,
,51,39,0,2,315,1,2,1.3668,168.039,,,
,52,35,0,1,315,2,1,1.3863,171.206,,,
,53,73,0,2,315,1,2,1.0201,174.014,,,
,54,55,0,3,45,2,3,0.6719,176.465,,,
,55,71,0,1,45,1,1,0.9277,179.164,,,
,56,46,1,1,0,2,1,1.2044,182.159,,,
,57,53,1,2,0,2,2,0.7832,184.72,,,
,58,31,0,1,45,2,1,0.8434,187.34,,,
,59,68,0,2,45,1,2,0.9312,190.039,,,
,60,14,0,1,45,3,1,1.8492,193.674,,,
,61,25,0,3,0,3,3,1.5247,196.981,,,
,62,87,1,2,315,2,2,0.796,199.571,,,
,63,11,1,3,0,3,3,0.8607,202.207,,,
,64,28,1,2,315,3,2,1.8441,205.824,,,
,65,19,1,1,0,3,1,1.1189,208.721,,,
,66,104,0,3,315,2,3,0.7795,211.279,,,
,67,70,1,1,315,3,1,1.617,214.668,,,
,68,66,1,3,45,1,3,0.8848,217.382,,,
,69,91,0,1,45,3,1,0.7312,219.894,,,
,70,75,1,1,45,2,1,1.1157,222.795,,,
,71,60,0,3,0,1,3,0.9778,225.541,,,
,72,32,0,1,315,1,1,0.8433,228.177,,,
,73,81,0,1,45,3,1,0.8955,230.846,,,
,74,107,1,1,45,2,1,0.8029,233.42,,,
,75,4,0,3,45,1,3,1.0274,236.213,,,
,76,108,0,1,315,2,1,0.9543,238.959,,,
,77,6,0,1,315,3,1,1.1672,241.894,,,
,78,27,0,3,315,2,3,0.6816,244.359,,,
,79,21,1,2,0,1,2,0.9852,247.125,,,
,80,26,0,2,45,2,2,0.9543,249.87,,,
,81,23,0,1,0,2,1,0.9949,263.78,,,
,82,110,1,3,315,1,3,0.9718,266.542,,,
,83,34,1,2,0,3,2,1.7105,270.022,,,
,84,96,1,1,315,1,2,1.9132,273.72,,,
,85,65,0,1,45,1,1,0.8462,276.363,,,
,86,45,1,2,0,2,2,1.2199,279.359,,,
,87,52,1,1,315,3,1,0.7994,281.933,,,
,88,62,0,2,45,3,2,0.8644,284.57,,,
,89,3,0,2,45,1,2,1.1067,287.472,,,
,90,92,0,3,45,3,3,0.7678,290.015,,,
,91,74,1,3,45,3,3,0.7348,292.527,,,
,92,57,1,1,315,2,1,0.9109,295.212,,,
,93,47,0,1,0,3,1,0.7385,297.723,,,
,94,67,1,1,45,1,1,1.5857,301.077,,,
,95,113,1,2,0,1,2,0.7607,303.62,,,
,96,63,1,2,45,2,2,0.6512,306.054,,,
,97,5,0,3,0,2,3,1.0839,308.919,,,
,98,1,1,2,315,2,2,0.8833,311.571,,,
,99,95,0,3,315,3,2,2.7149,316.078,,,
,100,78,1,3,0,2,3,0.7675,318.62,,,
,101,109,0,3,0,1,3,1.6824,322.069,,,
,102,38,1,3,315,3,3,1.2402,325.096,,,
,103,17,1,3,315,3,3,0.5825,327.452,,,
,104,93,0,2,0,2,2,1.01,330.229,,,
,105,106,0,3,315,1,3,0.9386,332.947,,,
,106,24,1,2,0,2,2,0.832,335.568,,,
,107,44,1,2,0,3,2,1.7578,339.094,,,
,108,43,0,1,315,1,1,1.6756,342.561,,,
>>,,,,,,,,,,,,
>> ,,,,,,,,,,,,